Crypto Name,Price,24H Change,24H Volume,Market cap
BTC,"$18,363.65",+2.14%,$19.49 B,$348.83 B
ETH,"$1,360.59",+1.61%,$5.73 B,$163.85 B
USDT,$1.02,+0.09%,$25.52 B,$66.02 B
USDC,$1.00,-0.05%,$2.68 B,$45.15 B
BNB,$275.84,+0.59%,$993.08 M,$43.52 B
XRP,$0.3977,+0.01%,$788.33 M,$19.78 B
BUSD,$1.00,-0.03%,$5.84 B,$18.82 B
DOGE,$0.0925,+1.12%,$399.02 M,$12.1 B
ADA,$0.3184,+0.37%,$220.94 M,$10.77 B
MATIC,$0.9435,+0.33%,$258.21 M,$8.09 B
DOT,$5.38,+1.19%,$186.07 M,$6.1 B
DAI,$1.02,+0.05%,$203.93 M,$5.86 B
WTRX,$0.05718,+5.51%,$1.3 M,$5.81 B
LTC,$78.14,-0.78%,$455.18 M,$5.54 B
SOL,$15.39,+7.32%,$284.6 M,$5.39 B
TRX,$0.05713,+5.32%,$244.6 M,$5.26 B
HEX,$0.02912,+1.14%,$2.75 M,$5.05 B
SHIB,$0.000009367,+0.86%,$83.74 M,$5.03 B
UNI,$6.24,+0.46%,$64.75 M,$4.65 B
AVAX,$14.34,+3.34%,$177.61 M,$4.37 B
stETH,"$1,239.24",-0.00%,$17.84 M,$4.32 B
WBTC,"$18,450.12",+2.12%,$71.58 M,$3.61 B
LEO,$3.73,+0.10%,$1.74 M,$3.56 B
LINK,$6.96,-0.33%,$172.37 M,$3.49 B
TON,$2.52,+11.09%,$100.7 M,$3.08 B
ATOM,$10.02,+1.54%,$121.94 M,$2.82 B
XMR,$147.82,-1.79%,$86.84 M,$2.69 B
ETC,$19.70,+0.92%,$91.16 M,$2.68 B
XLM,$0.08533,-0.03%,$41.7 M,$2.19 B
BCH,$111.57,+1.03%,$120.48 M,$2.11 B
ALGO,$0.2292,+1.31%,$35.6 M,$1.6 B
CRO,$0.06398,+1.69%,$15.46 M,$1.59 B
QNT,$129.45,+3.91%,$24.29 M,$1.53 B
APE,$4.16,+2.58%,$172.43 M,$1.48 B
FIL,$4.40,+0.20%,$78.87 M,$1.47 B
NEAR,$1.75,+1.01%,$66.5 M,$1.45 B
OKB,$23.05,+1.90%,$18.98 M,$1.38 B
VET,$0.01948,-0.18%,$29.31 M,$1.38 B
HBAR,$0.04989,-0.39%,$14.17 M,$1.18 B
ICP,$4.21,-1.28%,$17.79 M,$1.15 B
EOS,$1.02,+0.23%,$83.52 M,$1.07 B
EGLD,$44.51,-1.04%,$18.44 M,$1.04 B
WBNB,$271.20,+0.08%,$87.56 M,$1.04 B
FRAX,$0.9992,+0.23%,$5.52 M,$1.02 B
LUNC,$0.0001843,-0.26%,$50.74 M,$1.01 B
FLOW,$0.9791,+1.16%,$17.51 M,$992.57 M
HT,$6.38,+0.83%,$11.05 M,$978.2 M
BTCB,"$18,051.60",+1.98%,$5.29 M,$965.08 M
TWT,$2.29,+2.07%,$78.75 M,$953.42 M
USDP,$1.00,+0.47%,$1.89 M,$947.28 M
